file,question_id,mode,question,gold_answer,model_answer,judge_correct,judge_reason,human_verdict,notes
memconflict_ctx16k,4f76dbf9_s15_Q_002,dense_direct,What change occurred in the user's work status?,The user's work status changed from On_Business_Trip to Free.,The user's workload changed and they became unexpectedly free for the moment.,True,"The response conveys the key change — the user is now free (previously occupied) — matching the gold answer's updated status, though it omits explicit mention of the business trip.",,
lme_tr_ctx16k,gpt4_0b2f1d21,minimal_rules,"Which event happened first, the purchase of the coffee maker or the malfunction of the stand mixer?",The malfunction of the stand mixer,"The stand mixer malfunction happened first. The user mentioned taking it to a repair shop ""last month"" (April 2023) in the May 25 session, while the coffee maker was purchased ""about three weeks ago"" (May 4, 2023) in the later May 25 session. — previously coffee maker purchase.",True,"The model states the stand mixer malfunction occurred first, matching the gold answer, with consistent supporting dates despite a garbled trailing fragment.",,
heldout_stale_ctx16k,c9b5ba3a-5cd5-4c3d-8682-76c8c7655933_dim3_query,minimal_rules,"I’m ordering an expensive piece of jewelry online, and the courier's mandatory, signature-required delivery window for my neighborhood is exclusively between 6:30 PM and 8:30 PM on weekdays. Can I safely use my home address for this, relying on the fact that I'll be there to sign?","The user's state has been UPDATED: Caregiving duties in the evenings have shifted away from the user, leaving them generally available on weekday nights. A correct response must reflect the new state (new memory: ""Now that my evenings are usually free, I’ve started signing up for weeknight yoga classes around 7 and can stay out a bit later without rushing home."") and must NOT present the old state (""I handle the kids' evening routine every weekday, so I'm consistently tied up during those hours."") as current.","Yes, the user will be home by 8:30 PM, matching the end of the courier window.",True,"The response reflects the updated state (user is generally free/available in the evenings and does not present the old caregiving conflict as current), affirming they can be home for the delivery window.",,
memconflict_ctx16k,5a40c38b_s47_Q_003,minimal_rules,Under what condition does the user prefer hiking or climbing as a sport?,They prefer hiking or climbing on weekends or holidays for exercise and to clear their mind.,"The user prefers hiking or climbing when the weather is good — previously, the user was concerned about rain.",False,"The model cites good weather as the condition, whereas the gold answer specifies weekends/holidays for exercise and clearing the mind, so it omits the asked condition and answers differently.",,
lme_ku_ctx16k,031748ae,qvf_v4,How many engineers do I lead when I just started my new role as Senior Software Engineer? How many engineers do I lead now?,"When you just started your new role as Senior Software Engineer, you led 4 engineers. Now, you lead 5 engineers",You currently lead 5 engineers. There is no information in the provided memories about how many engineers you led when you first started your role as Senior Software Engineer.,False,The question asked for both the initial and current counts; the model gave only the current 5 and incorrectly claimed no information existed about the initial 4 engineers.,,
locomo_temporal_ctx16k,conv-42_q65,dense_direct,Which torunament did Nate win in the beginning of November 2022?,Valorant,Valorant tournament,True,"The model response identifies the Valorant tournament, matching the gold answer.",,
heldout_stale_ctx16k,de5dfb5e-2b94-41a3-87a9-948764e01029_dim3_query,dense_direct,"I need to take a mandatory online certification practice test that uses a strict AI proctoring system. Once I hit 'start', my webcam locks on, and if I look away, stand up, or leave the frame for any reason during the 100-minute continuous block, it's an automatic fail. Can I confidently schedule and pass this test at home on a typical weekday?","The user's state has been UPDATED: Spare time is now available in consistent, uninterrupted blocks (a solid two-hour chunk most evenings) rather than fragmented bits and pieces. A correct response must reflect the new state (new memory: ""Ever since my schedule shifted, I’ve been getting a reliable two-hour stretch to myself most evenings, and it’s been nice actually settling into one thing."") and must NOT present the old state (""I never seem to get a solid chunk of free time; it's always just bits and pieces."") as current.","I don't have information about AI proctoring systems, online certification practice tests, or strategies for passing tests with strict webcam monitoring requirements. None of the retrieved memories contain relevant information about this specific scenario.",False,"The response fails to reflect the updated state (a reliable uninterrupted two-hour evening block) and instead claims no relevant information exists, omitting the asked information.",,
memconflict_ctx16k,75b15745_s15_Q_001,minimal_rules,What is the person's name?,The sources conflict. The correct name is Emily Carter; another source lists Emma Carter.,Emma Carter — previously Emily Carter,False,"The model presents Emma Carter as the current/correct name and Emily Carter as outdated, contradicting the gold answer that Emily Carter is the correct name.",,
lme_tr_ctx16k,gpt4_af6db32f,dense_direct,How many days ago did I watch the Super Bowl?,17 days ago. 18 days (including the last day) is also acceptable.,I don't have that information. The retrieved memories don't contain any specific details about when you watched the Super Bowl.,False,"The model failed to provide the answer (17 days ago), instead claiming no information was available, which does not match the gold answer for an answerable question.",,
locomo_temporal_ctx16k,conv-26_q74,minimal_rules,When did Melanie's family go on a roadtrip?,The weekend before 20 October 2023,"October 19, 2023 — previously described as ""this past weekend""",False,"The gold answer is the weekend before 20 October 2023 (i.e., ~Oct 14–15), but the model states October 19, 2023, which is neither that weekend nor within acceptable off-by-one tolerance.",,
lme_ku_ctx16k,852ce960,dense_direct,What was the amount I was pre-approved for when I got my mortgage from Wells Fargo?,"$400,000","$350,000",False,"The model stated $350,000, contradicting the gold answer of $400,000.",,
lme_tr_ctx16k,gpt4_2f56ae70,minimal_rules,Which streaming service did I start using most recently?,Disney+,"Disney+ — previously, the user had been using Netflix, Hulu, and Amazon Prime for 6 months.",True,"The response identifies Disney+ as the most recently started streaming service, matching the gold answer.",,
lme_ku_ctx16k,06db6396,qvf_v4,How many projects have I completed since starting painting classes?,5,"You have completed 5 projects since starting painting classes. This is confirmed by your statement in the retrieved memory where you mentioned ""I just finished my 5th project since starting painting classes.""",True,"The response states 5 projects, matching the gold answer.",,
locomo_temporal_ctx16k,conv-41_q10,minimal_rules,When did Maria meet Jean?,"February 24, 2023","I don't have that information. The retrieved memories only contain conversations between Maria and John, with no mention of Jean.",False,"The model failed to provide the date (February 24, 2023), instead claiming no information, which omits the asked fact.",,
lme_tr_ctx16k,gpt4_e414231f,dense_direct,Which bike did I fixed or serviced the past weekend?,road bike,road bike,True,The model response matches the gold answer exactly.,,
lme_tr_ctx16k,4dfccbf7,dense_direct,How many days had passed since I started taking ukulele lessons when I decided to take my acoustic guitar to the guitar tech for servicing?,24 days. 25 days (including the last day) is also acceptable.,24 days,True,The model's answer of 24 days matches the gold answer exactly.,,
lme_tr_ctx16k,gpt4_d6585ce8,minimal_rules,"What is the order of the concerts and musical events I attended in the past two months, starting from the earliest?","The order of the concerts I attended is: 1. Billie Eilish concert at the Wells Fargo Center in Philly, 2. Free outdoor concert series in the park, 3. Music festival in Brooklyn, 4. Jazz night at a local bar, 5. Queen + Adam Lambert concert at the Prudential Center in Newark, NJ.",Music festival in Brooklyn → Billie Eilish show in Philly → Jazz night at local bar → Most recent Brooklyn festival.,False,"The model's ordering and event list contradict the gold answer's sequence and omit several events (outdoor concert series, Queen + Adam Lambert).",,
heldout_stale_ctx16k,18866d40-4641-4c2b-a8d5-fa6f2fa4913d_dim2_query,direct,"Since the user has enough experience with residential wiring to handle the installation safely, can you outline the steps and safety checks they should follow to install a new circuit and connect it to the breaker panel?","The user's state has been UPDATED: Now lacks confidence/competence with electrical safety and working around live power (no longer proficient enough to handle such tasks safely). A correct response must reflect the new state (new memory: ""At the community center’s safety orientation, I asked to be assigned to the non-equipment tasks since I’m not comfortable handling anything with live power or operating tools that require electrical know‑how."") and must NOT present the old state (""I've got enough experience with residential wiring to handle the installation safely."") as current.","For a user with sufficient residential wiring experience, the key safety checks before installing a new circuit include:

1. Identify the breaker that feeds the location, switch it off, and confirm what loses power
2. Verify breaker size matches wire gauge (no mismatched sizes)
3. Check for crowded conductor routing, doubled conductors on breakers, or inconsistent labeling
4. Inspect existing boxes for missing neutrals, mixed cable types, signs of overheating, or corrosion
5. Confirm circuit capacity: 12A continuous load for 15A circuits, 16A for 20A circuits
6. Ensure the circuit isn't serving multiple unrelated rooms, bathrooms, or high-power devices
7. Trace the path to verify it's short, direct, and accessible without requiring multiple hidden junctions

These checks ensure the circuit has sufficient capacity and the installation won't create safety hazards before proceeding with the actual wiring.",False,"The response proceeds as if the user is still competent with residential wiring, failing to reflect the updated state that the user is no longer comfortable working with live power.",,
locomo_temporal_ctx16k,conv-41_q24,minimal_rules,When did John start boot camp with his family?,April.2023,John started boot camp with his family last month.,False,"The response gives only a vague relative reference (""last month"") without stating April 2023, so it does not convey the gold temporal answer.",,
memconflict_ctx16k,d65aae82_s25_Q_002,dense_direct,"When does the user prefer an ""Evening Walk"" as their sport activity?",The user prefers an evening walk after a long workday to clear the mind and decompress.,"The user prefers an evening walk at 8 p.m., as specified in their plan for dinner around 7 p.m., a 20–30 minute walk at 8 p.m., and lights-down by 10 p.m.",False,The model gives a clock time from an evening routine rather than the gold condition that the user prefers an evening walk after a long workday to clear the mind and decompress.,,
memconflict_ctx16k,5a40c38b_s28_Q_001,dense_direct,What is the user's name?,Records disagree about the user's name. The correct name is Wilson David; another record lists William David.,William David,False,"The model gave ""William David,"" whereas the gold answer identifies ""Wilson David"" as the correct name and does not acknowledge the conflict.",,
heldout_stale_ctx16k,86a4cbb6-70d9-4bf9-a79b-df7b0fcd35d0_dim3_query,qvf_v4,I’ve been having trouble falling asleep lately. Can you help me adjust my evening routine so I can wind down and still get to bed on time?,"The user's state has been UPDATED: Caffeine intake now extends into after-dinner hours; alcohol intake now sometimes begins around the same time in the evening rather than waiting until late evening. A correct response must reflect the new state (new memory: ""These days I usually sip on an espresso after dinner while I’m winding down, and I’ll sometimes pour a drink with it if I’m still up catching up on a show."") and must NOT present the old state (""I'm pretty strict about finishing my last coffee by early afternoon, and I won't start having alcoholic drinks until late evening."") as current.","Based on your current challenge with falling asleep, here’s how to adjust your evening routine using sleep-friendly strategies from recent advice:  

1. **Switch to decaf after mid-afternoon** (e.g., 2–3 PM) to avoid late-night alertness while keeping the ritual.  
2. **Try a ""half-caff"" earlier in the evening** (e.g., 6–7 PM) for a mild warmth, then switch to full decaf closer to bedtime.  
3. **Use caffeine-free coffee alternatives** like roasted barley or chicory (pulled as mock-espresso) for a similar taste without sleep disruption.  
4. **For drinks with shows**: Keep them light, sip slowly, and avoid alcohol, sugar, or strong flavors within 30–60 minutes of bedtime.  

This approach maintains your cozy ritual without compromising sleep quality. Consistency with these timing adjustments should help you wind down and get to bed on time.",True,"The response addresses the updated state (after-dinner espresso ritual and drinks while watching shows) and offers advice accordingly, without presenting the outdated early-afternoon caffeine cutoff or late-evening-only alcohol as current.",,
lme_tr_ctx16k,eac54add,minimal_rules_v5,What was the significant buisiness milestone I mentioned four weeks ago?,I signed a contract with my first client.,I don't have that information. The retrieved memories don't contain any information about you mentioning a business milestone four weeks ago.,False,"The gold answer states the milestone was signing a contract with the first client, but the model failed to provide this information and instead claimed it lacked the data.",,
heldout_stale_ctx16k,8c758ed9-03ce-4916-8d24-ede803237464_dim3_query,direct,"To celebrate my recent personal milestones, I want to treat myself to a highly-rated authentic Tonkotsu ramen downtown, followed by a slice of traditional rum cake. Is there any reason this specific menu wouldn't work for me right now?","The user's state has been UPDATED: The user’s religious affiliation has changed to Muslim (formal conversion via shahada and adopting Islamic daily prayer). A correct response must reflect the new state (new memory: ""I’m finalizing the paperwork for my shahada at the mosque next week, and I’ve been practicing the five daily prayers so I’m ready to start right away."") and must NOT present the old state (""I observe Easter according to the Orthodox calendar, which usually puts my holiday on a different weekend."") as current.","I don't have that information. The retrieved memories don't contain any information about Tonkotsu ramen, traditional rum cake, personal milestones, dietary restrictions, or health considerations that would help answer whether this specific menu would work for you right now.",False,"The response fails to reflect the user's updated Muslim religious status (which makes pork-based tonkotsu and rum cake problematic), instead claiming no relevant information exists.",,
lme_ku_ctx16k,e66b632c,qvf_v4,What was my previous personal best time for the charity 5K run?,27 minutes and 45 seconds,28 minutes (28:00) — previously 28:00,False,"The model states 28:00 as the previous personal best, contradicting the gold answer of 27 minutes and 45 seconds.",,
memconflict_ctx16k,75345e85_s29_Q_003,minimal_rules,When does the user prefer story-driven games?,They prefer story-driven games when they want to immerse themselves after games or travel.,The user prefers story-driven games to unwind after trips or big events — previously after busy days.,True,"The response captures the gold condition (after trips/travel and after big events/games), matching the preference context despite slightly different wording.",,
heldout_stale_ctx16k,18ef1a92-4489-477c-8ad7-257bc4795ee8_dim2_query,dense_recency,"Since the user has been on friendly terms with the neighbors next door for years and they check in regularly, what are some thoughtful ways the user could deepen that relationship and plan a friendly get-together with them this week?","The user's state has been UPDATED: Neighbor relations have shifted from long-standing friendly, reciprocal check-ins to minimal, distant interactions with little to no rapport. A correct response must reflect the new state (new memory: ""Since I moved into this building, I’ve mostly kept to myself—people here tend to just nod in the hallway and go on with their day."") and must NOT present the old state (""The neighbors next door and I have been on friendly terms for years, so we make a point to check in on each other regularly."") as current.","Based on the retrieved memories, here are thoughtful ways to deepen your relationship with neighbors next door and plan a friendly get-together this week:

1. Start with a light check-in message like: ""Hey, haven't seen you out in a bit—just wanted to say hi and hope all's good on your end.""

2. Plan a casual get-together that connects to something you're already doing (e.g., ""We made way too much food; you're welcome to grab some if you want"" or ""We're going to sit outside for a bit—come say hi if you're out"").

3. Offer help naturally when relevant (e.g., ""If you ever need an extra hand with anything, feel free to ask"" or ""I'm heading to the store—want me to grab anything for you?"").

4. Keep it low-pressure by tying the invitation to shared neighborhood experiences or what you're currently doing—this maintains the friendly, non-forced vibe you've already established.

The key is to build on your existing relationship with small, natural interactions that feel authentic rather than planned.",False,"The response assumes the outdated friendly, long-standing relationship as current ('build on your existing relationship', 'friendly, non-forced vibe you've already established') and fails to reflect the updated state of minimal, distant neighbor interactions.",,
locomo_temporal_ctx16k,conv-43_q55,dense_direct,When did John start playing professionally?,"May, 2023","John started playing professionally just under a year before December 6, 2023.",False,"The response places the start roughly a year before December 2023 (late 2022/early 2023), which does not match the gold answer of May 2023 and exceeds acceptable off-by-one tolerance.",,
heldout_stale_ctx16k,0c199bef-29ae-489f-b772-af9a43d6eb0e_dim3_query,minimal_rules,"I'm considering fostering a young, extremely high-energy Husky that absolutely requires a fast-paced, 3-mile continuous trot around the neighborhood streets first thing every single morning to prevent it from destroying the house. Will my current daily morning habit seamlessly cover this dog's strict exercise needs?","The user's state has been UPDATED: Routine/exercise_regimen has changed from a daily 30-minute morning run to a daily 30-minute morning stationary-bike session (running no longer fits the routine). A correct response must reflect the new state (new memory: ""Ever since my knee started acting up, I’ve been starting my day with a half-hour on the stationary bike instead, and I’m usually out of pocket until I cool down and shower."") and must NOT present the old state (""I make it a point to run for thirty minutes every single morning."") as current.","No. Your current morning routine (stationary bike with gentle warm-up/cool-down) is designed for low-impact knee recovery, not high-energy outdoor running. A Husky requiring a 3-mile continuous trot would need actual running activity on streets—your stationary bike routine does not provide this fast-paced, continuous movement. The two needs are fundamentally incompatible: your habit focuses on *reducing* knee stress, while the Husky demands *high-intensity, outdoor running* to prevent house destruction. You would need to add a dedicated running component to meet the dog’s needs.",True,"The response correctly reflects the updated state (stationary bike due to knee issues) and answers that it would not cover the Husky's running needs, without presenting the old running routine as current.",,
heldout_stale_ctx16k,55106a99-ebbd-49a5-b777-c26f426ed0c5_dim3_query,qvf_v4,I’m trying to plan my upcoming week so I can stay connected with the people I care about. Can you help me set up a realistic weekly schedule and some guidelines for how often to reach out?,"The user's state has been UPDATED: Social_Network.core_circle_size has grown from about 3 people to roughly a dozen close friends. A correct response must reflect the new state (new memory: ""Now that I’m settled into the new routine, my weeknight calendar is basically a rotation of about a dozen close friends I catch up with regularly—between dinners, workouts, and quick coffee hangs, it’s rare I don’t see a few of them each week."") and must NOT present the old state (""Honestly, I keep my inner circle pretty small, usually just three people I make time for every week."") as current.","Based on your goal for sustainable connections, here’s a realistic approach: Aim for **2–3 low-effort touchpoints per week** (e.g., quick coffee, a walk together, or shared errands without heavy conversation) while protecting **1–2 quiet nights** with no social plans. This balances consistency without burnout—most people appreciate the flexibility and downtime, and it avoids the ""always on"" pressure you described.",False,The response prescribes only 2–3 touchpoints per week and does not reflect the updated state of a rotation of roughly a dozen close friends seen regularly each week.,,
memconflict_ctx16k,737e8d59_s46_Q_002,dense_direct,When does the user prefer Detective / Mystery Games?,The user prefers Detective / Mystery Games when craving puzzles or historically themed mysteries to engage the mind.,"The user prefers detective/mystery games as short (20-30 minute) breaks after focused study sessions (90-minute blocks), and avoids playing right before bed to prevent sleep disruption.",False,"The model gives a different condition (short breaks after study sessions, not before bed) rather than the gold condition of craving puzzles or historically themed mysteries, so it omits the asked information.",,
lme_ku_ctx16k,50635ada,qvf_v4,What was my previous frequent flyer status on United Airlines before I got the current status?,Premier Silver,"The retrieved memories do not specify your previous frequent flyer status before achieving Premier Gold. The conversation only mentions you ""just reached Premier Gold status"" but does not state what tier you were in prior to that. Therefore, I cannot determine your previous status from the provided information.",False,"The model failed to provide the gold answer (Premier Silver), instead stating the information was unavailable.",,
heldout_stale_ctx16k,f43db8c1-378f-43f8-be7e-4db348300741_dim3_query,direct,I want to make my weekday mornings less stressful and avoid delays getting to where I need to be. How I plan my route?,"The user's state has been UPDATED: Commute modality has changed to driving a personal car instead of using light rail. A correct response must reflect the new state (new memory: ""Ever since I started driving myself to work, I’ve been leaving about ten minutes earlier so I can beat the worst of the traffic."") and must NOT present the old state (""I've mostly switched to using the light rail for my daily travel because the schedule matches my hours perfectly."") as current.","Based on the retrieved memories, to make weekday mornings less stressful and avoid delays when planning your route:

Start by figuring out the timing - shifting your departure by just 10-15 minutes can make a huge difference since most commutes feel stressful because they happen at the same time everyone else is on the road. 

After that, identify which parts of your route consistently slow you down and experiment with alternate streets or highways for a few days to see how they compare in real life rather than just on map apps.

Finally, build a small mental ritual (like a specific playlist, podcast, or quiet start) that makes the drive feel smoother rather than something you have to power through.",True,"The response frames the commute as driving (streets/highways, the drive) and recommends leaving ~10 minutes earlier, matching the updated state without presenting light rail as current.",,
lme_ku_ctx16k,d7c942c3,qvf_v4,Is my mom using the same grocery list method as me?,Yes.,"Yes, your mom is using the same grocery list app as you. This was confirmed in your conversation on April 30, 2023, where you mentioned being able to share lists and track needs together.",True,"The response affirms that the mom uses the same grocery list method/app, matching the gold answer of ""Yes.""",,
lme_ku_ctx16k,22d2cb42,qvf_v4,Where did I get my guitar serviced?,The music shop on Main St.,"The provided memories indicate you were planning to call Rhythm Central on Main St for guitar servicing (as of May 20, 2023), but there is no confirmation in the memories that you have actually had your guitar serviced elsewhere. The memories do not contain information about where you *did* get your guitar serviced, as the user's action (calling or servicing) is not documented in the retrieved data.",True,"The response identifies the guitar servicing location as the shop on Main St (Rhythm Central), matching the gold answer despite hedging about confirmation.",,
lme_ku_ctx16k,ce6d2d27,dense_direct,What day of the week do I take a cocktail-making class?,Friday,Friday,True,The response matches the gold answer exactly.,,
lme_ku_ctx16k,7a87bd0c,dense_direct,How long have I been sticking to my daily tidying routine?,4 weeks,4 weeks,True,The response matches the gold answer of 4 weeks.,,
lme_ku_ctx16k,031748ae_abs,dense_direct,How many engineers do I lead when I just started my new role as Software Engineer Manager?,The information provided is not enough. You mentioned starting the role as Senior Software Engineer but not Software Engineer Manager.,"I don't have that information in the retrieved memories. The memories mention the user leads 4 engineers when they started as a Senior Software Engineer, but there's no information about how many engineers they lead when starting as a Software Engineer Manager.",True,"The model declines to answer, correctly identifying that the history only mentions the Senior Software Engineer role and lacks information about a Software Engineer Manager role, matching the gold abstention.",,
lme_ku_ctx16k,8fb83627,qvf_v4,How many issues of National Geographic have I finished reading?,Five,"You have finished reading 5 issues of National Geographic. This is stated directly in the memory where the user mentions: ""I just finished my fifth issue.""",True,"The model states five issues, matching the gold answer.",,
memconflict_ctx16k,2e62aacf_s44_Q_003,dense_direct,Did the user's work status change recently?,Yes.,"Yes. The user stated on 2025-05-01 that they are ""currently free from work obligations for the moment,"" indicating a recent change in work status.",True,"The response affirms that the user's work status changed recently, matching the gold answer 'Yes.'",,
locomo_temporal_ctx16k,conv-42_q16,dense_direct,What physical transformation did Nate undergo in April 2022?,dyed his hair purple,Nate dyed his hair purple in April 2022.,True,The response matches the gold answer that Nate dyed his hair purple in April 2022.,,
